PRS-B	L.
0	eum
0	venit
0	,
0	se
0	suosque
0	omnes
0	in
0	officio
0	futuros
0	neque
0	ab
0	amicitia
0	populi
GRP-B	Romani
0	defecturos
0	confirmavit
0	quaeque
0	in
GRP-B	Treveris
0	gererentur
0	ostendit
0	.

0	At
PRS-B	Indutiomarus
0	equitatum
0	peditatumque
0	cogere
0	,
0	eisque
0	qui
0	per
0	aetatem
0	in
0	armis
0	esse
0	non
0	poterant
0	in
0	silvam
GEO-B	Arduennam
0	abditis
0	,
0	quae
0	ingenti
0	magnitudine
0	per
0	medios
0	fines
GRP-B	Treverorum
0	a
0	flumine
GEO-B	Rheno
0	ad
0	initium
GRP-B	Remorum
0	pertinet
0	,
0	bellum
0	parare
0	instituit
0	.

0	Sed
0	posteaquam
0	nonnulli
0	principes
0	ex
0	ea
0	civitate
0	et
0	familiaritate
PRS-B	Cingetorigis
0	adducti
0	et
0	adventu
0	nostri
0	exercitus
0	perterriti
0	ad
PRS-B	Caesarem
0	venerunt
0	et
0	de
0	suis
0	privatim
0	rebus
0	ab
0	eo
0	petere
0	coeperunt
0	,
0	quoniam
0	civitati
0	consulere
0	non
0	possent
0	,
0	veritus
0	ne
0	ab
0	omnibus
0	desereretur
PRS-B	Indutiomarus
0	legatos
0	ad
PRS-B	Caesarem
0	mittit
0	<COLON>
0	sese
0	idcirco
0	ab
0	suis
0	discedere
0	atque
0	ad
0	eum
0	venire
0	noluisse
0	,
0	quo
0	facilius
0	civitatem
0	in
0	officio
0	contineret
0	,
0	ne
0	omnis
0	nobilitatis
0	discessu
0	plebs
0	propter
0	imprudentiam
0	laberetur
0	<COLON>
0	itaque
0	esse
0	civitatem
0	in
0	sua
0	potestate
0	,
0	seseque
0	,
0	si
PRS-B	Caesar
0	permitteret
0	,
0	ad
0	eum
0	in
0	castra
0	venturum
0	,
0	suas
0	civitatisque
0	fortunas
0	eius
0	fidei
0	permissurum
0	.

PRS-B	Caesar
0	,
0	etsi
0	intellegebat
0	qua
0	de
0	causa
0	ea
0	dicerentur
0	quaeque
0	eum
0	res
0	ab
0	instituto
0	consilio
0	deterreret
0	,
0	tamen
0	,
0	ne
0	aestatem
0	in
GRP-B	Treveris
0	consumere
0	cogeretur
0	omnibus
0	ad
GEO-B	Britannicum
0	bellum
0	rebus
0	comparatis
0	,
PRS-B	Indutiomarum
0	ad
0	se
0	cum
0	CC
0	obsidibus
0	venire
0	iussit
0	.

0	His
0	adductis
0	,
0	in
0	eis
0	filio
0	propinquisque
0	eius
0	omnibus
0	,
0	quos
0	nominatim
0	evocaverat
0	,
0	consolatus
PRS-B	Indutiomarum
0	hortatusque
0	est
0	uti
0	in
0	officio
0	maneret
0	;

0	nihilo
0	tamen
0	setius
0	principibus
GRP-B	Treverorum
0	ad
0	se
0	convocatis
0	hos
0	singillatim
PRS-B	Cingetorigi
0	conciliavit
0	,
0	quod
0	cum
0	merito
0	eius
0	a
0	se
0	fieri
0	intellegebat
0	,
0	tum
0	magni
0	interesse
0	arbitrabatur
0	eius
0	auctoritatem
0	inter
0	suos
0	quam
0	plurimum
0	valere
0	,
0	cuius
0	tam
0	egregiam
0	in
0	se
0	voluntatem
0	perspexisset
0	.

0	Id
0	tulit
0	factum
0	graviter
PRS-B	Indutiomarus
0	,
0	suam
0	gratiam
0	inter
0	suos
0	minui
0	,
0	et
0	,
0	qui
0	iam
0	ante
0	inimico
0	in
0	nos
0	animo
0	fuisset
0	,
0	multo
0	gravius
0	hoc
0	dolore
0	exarsit
0	.

0	His
0	rebus
0	constitutis
PRS-B	Caesar
0	ad
0	portum
GEO-B	Itium
0	cum
0	legionibus
0	pervenit
0	.

0	Ibi
0	cognoscit
0	LX
0	naves
0	,
0	quae
0	in
GEO-B	Meldis
0	factae
0	erant
0	,
0	tempestate
0	reiectas
0	cursum
0	tenere
0	non
0	potuisse
0	atque
0	eodem
0	unde
0	erant
0	profectae
0	revertisse
0	;

0	reliquas
0	paratas
0	ad
0	navigandum
0	atque
0	omnibus
0	rebus
0	instructas
0	invenit
0	.

0	Eodem
0	equitatus
0	totius
GEO-B	Galliae
0	convenit
0	,
0	numero
0	milium
0	quattuor
0	,
0	principesque
0	ex
0	omnibus
0	civitatibus
0	.

0	Ex
0	quibus
0	perpaucos
0	,
0	quorum
0	in
0	se
0	fidem
0	perspexerat
0	,
0	relinquere
0	in
GEO-B	Gallia
0	,
0	reliquos
0	obsidum
0	loco
0	secum
0	ducere
0	decreverat
0	,
0	quod
0	,
0	cum
0	ipse
0	abesset
0	,
0	motum
GEO-B	Galliae
0	verebatur
0	.

0	Erat
0	una
0	cum
0	ceteris
PRS-B	Dumnorix
GRP-B	Aeduus
0	,
0	de
0	quo
0	ante
0	ab
0	nobis
0	dictum
0	est
0	.

0	Hunc
0	secum
0	habere
0	in
0	primis
0	constituerat
0	,
0	quod
0	eum
0	cupidum
0	rerum
0	novarum
0	,
0	cupidum
0	imperi
0	,
0	magri
0	animi
0	,
0	magnae
0	inter
GRP-B	Gallos
0	auctoritatis
0	cognoverat
0	.

0	Accedebat
0	huc
0	quod
0	in
0	concilio
GRP-B	Aeduorum
PRS-B	Dumnorix
0	dixerat
0	sibi
0	a
PRS-B	Caesare
0	regnum
0	civitatis
0	deferri
0	;

0	quod
0	dictum
GRP-B	Aedui
0	graviter
0	ferebant
0	,
0	neque
0	recusandi
0	aut
0	deprecandi
0	causa
0	legatos
0	ad
PRS-B	Caesarem
0	mittere
0	audebant
0	.

0	Id
0	factum
0	ex
0	suis
0	hospitibus
PRS-B	Caesar
0	cognoverat
0	.

0	Ille
0	omnibus
0	primo
0	precibus
0	petere
0	contendit
0	ut
0	in
GEO-B	Gallia
0	relinqueretur
0	,
0	partim
0	quod
0	insuetus
0	navigandi
0	mare
0	timeret
0	,
0	partim
0	quod
0	religionibus
0	impediri
0	sese
0	diceret
0	.

0	Posteaquam
0	id
0	obstinate
0	sibi
0	negari
0	vidit
0	,
0	omni
0	spe
0	impetrandi
0	adempta
0	principes
GEO-B	Galliae
0	sollicitare
0	,
0	sevocare
0	singulos
0	hortarique
0	coepit
0	uti
0	in
0	continenti
0	remanerent
0	;

0	metu
0	territare
0	<COLON>
0	non
0	sine
0	causa
0	fieri
0	,
0	ut
GEO-B	Gallia
0	omni
0	nobilitate
0	spoliaretur
0	;

0	id
0	esse
0	consilium
PRS-B	Caesaris
0	,
0	ut
0	quos
0	in
0	conspectu
GEO-B	Galliae
0	interficere
0	vereretur
0	,
0	hos
0	omnes
0	in
GEO-B	Britanniam
0	traductos
0	necaret
0	;

0	fidem
0	reliquis
0	interponere
0	,
0	iusiurandum
0	poscere
0	,
0	ut
0	quod
0	esse
0	ex
0	usu
GEO-B	Galliae
0	intellexissent
0	communi
0	consilio
0	administrarent
0	.

0	Haec
0	a
0	compluribus
0	ad
PRS-B	Caesarem
0	deferebantur
0	.

0	Qua
0	re
0	cognita
PRS-B	Caesar
0	,
0	quod
0	tantum
0	civitati
GRP-B	Aeduae
0	dignitatis
0	tribuebat
0	,
0	coercendum
0	atque
0	deterrendum
0	quibuscumque
0	rebus
0	posset
PRS-B	Dumnorigem
0	statuebat
0	;

0	quod
0	longius
0	eius
0	amentiam
0	progredi
0	videbat
0	,
0	prospiciendum
0	,
0	ne
0	quid
0	sibi
0	ac
0	rei
0	publicae
0	nocere
0	posset
0	.

0	Itaque
0	dies
0	circiter
0	XXV
0	in
0	eo
0	loco
0	commoratus
0	,
0	quod
0	Carus
0	ventus
0	navigationem
0	impediebat
0	,
0	qui
0	magnam
0	partem
0	omnis
0	temporis
0	in
0	his
0	locis
0	flare
0	consuevit
0	,
0	dabat
0	operam
0	ut
0	in
0	officio
PRS-B	Dumnorigem
0	contineret
0	,
0	nihilo
0	tamen
0	setius
0	omnia
0	eius
0	consilia
0	cognosceret
0	.

0	Tandem
0	idoneam
0	nactus
0	tempestatem
0	milites
0	equitesque
0	conscendere
0	in
0	naves
0	iubet
0	.

0	At
0	omnium
0	impeditis
0	animis
PRS-B	Dumnorix
0	cum
0	equitibus
GRP-B	Aeduorum
0	a
0	castris
0	insciente
PRS-B	Caesare
0	domum
0	discedere
0	coepit
0	.

0	Qua
0	re
0	nuntiata
PRS-B	Caesar
0	intermissa
0	profectione
0	atque
0	omnibus
0	rebus
0	postpositis
0	magnam
0	partem
0	equitatus
0	ad
0	eum
0	insequendum
0	mittit
0	retrahique
0	imperat
0	;

0	si
0	vim
0	faciat
0	neque
0	pareat
0	,
0	interfici
0	iubet
0	,
0	nihil
0	hunc
0	se
0	absente
0	pro
0	sano
0	facturum
0	arbitratus
0	,
0	qui
0	praesentis
0	imperium
0	neglexisset
0	.

0	Ille
0	enim
0	revocatus
0	resistere
0	ac
0	se
0	manu
0	defendere
0	suorumque
0	fidem
0	implorare
0	coepit
0	,
0	saepe
0	clamitans
0	liberum
0	se
0	liberaeque
0	esse
0	civitatis
0	.

0	Illi
0	,
0	ut
0	erat
0	imperatum
0	,
0	circumsistunt
0	hominem
0	atque
0	interficiunt
0	<COLON>
0	at
0	equites
GRP-B	Aedui
0	ad
PRS-B	Caesarem
0	omnes
0	revertuntur
0	.

0	His
0	rebus
0	gestis
0	,
PRS-B	Labieno
0	in
0	continente
0	cum
0	tribus
0	legionibus
0	et
0	equitum
0	milibus
0	duobus
0	relicto
0	ut
0	portus
0	tueretur
0	et
0	rem
0	frumentariam
0	provideret
0	quaeque
0	in
GEO-B	Gallia
0	gererentur
0	cognosceret
0	consiliumque
0	pro
0	tempore
0	et
0	pro
0	re
0	caperet
0	,
0	ipse
0	cum
0	quinque
0	legionibus
0	et
0	pari
0	numero
0	equitum
0	,
0	quem
0	in
0	continenti
0	reliquerat
0	,
0	ad
0	solis
0	occasum
0	naves
0	solvit
0	et
0	leni
GEO-B	Africo
0	provectus
0	media
0	circiter
0	nocte
0	vento
0	intermisso
0	cursum
0	non
0	tenuit
0	,
0	et
0	longius
0	delatus
0	aestu
0	orta
0	luce
0	sub
0	sinistra
GEO-B	Britanniam
0	relictam
0	conspexit
0	.

0	Tum
0	rursus
0	aestus
0	commutationem
0	secutus
0	remis
0	contendit
0	ut
0	eam
0	partem
0	insulae
0	caperet
0	,
0	qua
0	optimum
0	esse
0	egressum
0	superiore
0	aestate
0	cognoverat
0	.

0	Qua
0	in
0	re
0	admodum
0	fuit
0	militum
0	virtus
0	laudanda
0	,
0	qui
0	vectoriis
0	gravibusque
0	navigiis
0	non
0	intermisso
0	remigandi
0	labore
0	longarum
0	navium
0	cursum
0	adaequarunt
0	.

0	Accessum
0	est
0	ad
GEO-B	Britanniam
0	omnibus
0	navibus
0	meridiano
0	fere
0	tempore
0	,
0	neque
0	in
0	eo
0	loco
0	hostis
0	est
0	visus
0	;

0	sed
0	,
0	ut
0	postea
PRS-B	Caesar
0	ex
0	captivis
0	cognovit
0	,
0	cum
0	magnae
0	manus
0	eo
0	convenissent
0	,
0	multitudine
0	navium
0	perterritae
0	,
0	quae
0	cum
0	annotinis
0	privatisque
0	quas
0	sui
0	quisque
0	commodi
0	fecerat
0	amplius
0	octingentae
0	uno
0	erant
0	visae
0	tempore
0	,
0	a
0	litore
0	discesserant
0	ac
0	se
0	in
0	superiora
0	loca
0	abdiderant
0	.

PRS-B	Caesar
0	exposito
0	exercitu
0	et
0	loco
0	castris
0	idoneo
0	capto
0	,
0	ubi
0	ex
0	captivis
0	cognovit
0	quo
0	in
0	loco
0	hostium
0	copiae
0	consedissent
0	,
0	cohortibus
0	decem
0	ad
0	mare
0	relictis
0	et
0	equitibus
0	trecentis
0	,
0	qui
0	praesidio
0	navibus
0	essent
0	,
0	de
0	tertia
0	vigilia
0	ad
0	hostes
0	contendit
0	,
0	eo
0	minus
0	veritus
0	navibus
0	,
0	quod
0	in
0	litore
0	molli
0	atque
0	aperto
0	deligatas
0	ad
0	ancoram
0	relinquebat
0	,
0	et
0	praesidio
0	navibus
PRS-B	Q.
PRS-I	Atrium
0	praefecit
0	.

0	Ipse
0	noctu
0	progressus
0	milia
0	passuum
0	circiter
0	XII
0	hostium
0	copias
0	conspicatus
0	est
0	.

0	Illi
0	equitatu
0	atque
0	essedis
0	ad
0	flumen
0	progressi
0	ex
0	loco
0	superiore
0	nostros
0	prohibere
0	et
0	proelium
0	committere
0	coeperunt
0	.

0	Repulsi
0	ab
0	equitatu
0	se
0	in
0	silvas
0	abdiderunt
0	,
0	locum
0	nacti
0	egregie
0	et
0	natura
0	et
0	opere
0	munitum
0	,
0	quem
0	domestici
0	belli
0	,
0	ut
0	videbantur
0	,
0	causa
0	iam
0	ante
0	praeparaverant
0	;

0	nam
0	crebris
0	arboribus
0	succisis
0	omnes
0	introitus
0	erant
0	praeclusi
0	.

0	Ipsi
0	ex
0	silvis
0	rari
0	propugnabant
0	nostrosque
0	intra
0	munitiones
0	ingredi
0	prohibebant
0	.

0	At
0	milites
0	legionis
0	septimae
0	,
0	testudine
0	facta
0	et
0	aggere
0	ad
0	munitiones
0	adiecto
0	,
0	locum
0	ceperunt
0	eosque
0	ex
0	silvis
0	expulerunt
0	paucis
0	vulneribus
0	acceptis
0	.

0	Sed
0	eos
0	fugientes
0	longius
PRS-B	Caesar
0	prosequi
0	vetuit
0	,
0	et
0	quod
0	loci
0	naturam
0	ignorabat
0	,
0	et
0	quod
0	magna
0	parte
0	diei
0	consumpta
0	munitioni
0	castrorum
0	tempus
0	relinqui
0	volebat
0	.

0	Postridie
0	eius
0	diei
0	mane
0	tripertito
0	milites
0	equitesque
0	in
0	expeditionem
0	misit
0	,
0	ut
0	eos
0	qui
0	fugerant
0	persequerentur
0	.

0	His
0	aliquantum
0	itineris
0	progressis
0	,
0	cum
0	iam
0	extremi
0	essent
0	in
0	prospectu
0	,
0	equites
0	a
PRS-B	Quinto
PRS-I	Atrio
0	ad
PRS-B	Caesarem
0	venerunt
0	,
0	qui
0	nuntiarent
0	superiore
0	nocte
0	maxima
0	coorta
0	tempestate
0	prope
0	omnes
0	naves
0	adflictas
0	atque
0	in
0	litore
0	eiectas
0	esse
0	,
0	quod
0	neque
0	ancorae
0	funesque
0	subsisterent
0	,
0	neque
0	nautae
0	gubernatoresque
0	vim
0	tempestatis
0	pati
0	possent
0	;

0	itaque
0	ex
0	eo
0	concursu
0	navium
0	magnum
0	esse
0	incommodum
0	acceptum
0	.

0	His
0	rebus
0	cognitis
PRS-B	Caesar
0	legiones
0	equitatumque
0	revocari
0	atque
0	in
0	itinere
0	resistere
0	iubet
0	,
0	ipse
0	ad
0	naves
0	revertitur
0	;

0	eadem
0	fere
0	quae
0	ex
0	nuntiis
0	litterisque
0	cognoverat
0	coram
0	perspicit
0	,
0	sic
0	ut
0	amissis
0	circiter
0	XL
0	navibus
0	reliquae
0	tamen
0	refici
0	posse
0	magno
0	negotio
0	viderentur
0	.

0	Itaque
0	ex
0	legionibus
0	fabros
0	deligit
0	et
0	ex
0	continenti
0	alios
0	arcessi
0	iubet
0	;

PRS-B	Labieno
0	scribit
0	,
0	ut
0	quam
0	plurimas
0	posset
0	eis
0	legionibus
0	,
0	quae
0	sunt
0	apud
0	eum
0	,
0	naves
0	instituat
0	.

0	Ipse
0	,
0	etsi
0	res
0	erat
0	multae
0	operae
0	ac
0	laboris
0	,
0	tamen
0	commodissimum
0	esse
0	statuit
0	omnes
0	naves
0	subduci
0	et
0	cum
0	castris
0	una
0	munitione
0	coniungi
0	.

0	In
0	his
0	rebus
0	circiter
0	dies
0	X
0	consumit
0	ne
0	nocturnis
0	quidem
0	temporibus
0	ad
0	laborem
0	militum
0	intermissis
0	.

0	Subductis
0	navibus
0	castrisque
0	egregie
0	munitis
0	easdem
0	copias
0	,
0	quas
0	ante
0	,
0	praesidio
0	navibus
0	reliquit
0	<COLON>
0	ipse
0	eodem
0	unde
0	redierat
0	proficiscitur
0	.

0	Eo
0	cum
0	venisset
0	,
0	maiores
0	iam
0	undique
0	in
0	eum
0	locum
0	copiae
GRP-B	Britannorum
0	convenerant
0	summa
0	imperi
0	bellique
0	administrandi
0	communi
0	consilio
0	permissa
PRS-B	Cassivellauno
0	,
0	cuius
0	fines
0	a
0	maritimis
0	civitatibus
0	flumen
0	dividit
0	,
0	quod
0	appellatur
GEO-B	Tamesis
0	,
0	a
0	mari
0	circiter
0	milia
0	passuum
0	LXXX
0	.

0	Huic
0	superiore
0	tempore
0	cum
0	reliquis
0	civitatibus
0	continentia
0	bella
0	intercesserant
0	;

0	sed
0	nostro
0	adventu
0	permoti
GRP-B	Britanni
0	hunc
0	toti
0	bello
0	imperioque
0	praefeceraut
0	.

GEO-B	Britanniae
0	pars
0	interior
0	ab
0	eis
0	incolitur
0	quos
0	natos
0	in
0	insula
0	ipsi
0	memoria
0	proditum
0	dicunt
0	,
0	maritima
0	pars
0	ab
0	eis
0	,
0	qui
0	praedae
0	ac
0	belli
0	inferendi
0	causa
0	ex
GRP-B	Belgio
0	transierunt
0	(
0	qui
0	omnes
0	fere
0	eis
0	nominibus
0	civitatum
0	appellantur
0	,
0	quibus
0	orti
0	ex
0	civitatibus
0	eo
0	pervenerunt
0	)
0	et
0	bello
0	illato
0	ibi
0	permanserunt
0	atque
0	agros
0	colere
0	coeperunt
0	.

0	Hominum
0	est
0	infinita
0	multitudo
0	creberrimaque
0	aedificia
0	fere
GRP-B	Gallicis
0	consimilia
0	,
0	pecorum
0	magnus
0	numerus
0	.

0	Vtuntur
0	aut
0	aere
0	aut
0	nummo
0	aureo
0	aut
0	taleis
0	ferreis
0	ad
0	certum
0	pondus
0	examinatis
0	pro
0	nummo
0	.

0	Nascitur
0	ibi
0	plumbum
0	album
0	in
0	mediterraneis
0	regionibus
0	,
0	in
0	maritimis
0	ferrum
0	,
0	sed
0	eius
0	exigua
0	est
0	copia
0	;

0	aere
0	utuntur
0	importato
0	.

0	Materia
0	cuiusque
0	generis
0	ut
0	in
GEO-B	Gallia
0	est
0	,
0	praeter
0	fagum
0	atque
0	abietem
0	.

0	Leporem
0	et
0	gallinam
0	et
0	anserem
0	gustare
0	fas
0	non
0	putant
0	;

0	haec
0	tamen
0	alunt
0	animi
0	voluptatisque
0	causa
0	.

0	Loca
0	sunt
0	temperatiora
0	quam
0	in
GEO-B	Gallia
0	,
0	remissioribus
0	frigoribus
0	.

0	Insula
0	natura
0	triquetra
0	,
0	cuius
0	unum
0	latus
0	est
0	contra
GEO-B	Galliam
0	.

0	Huius
0	lateris
0	alter
0	angulus
0	,
0	qui
0	est
0	ad
GEO-B	Cantium
0	,
0	quo
0	fere
0	omnes
0	ex
GEO-B	Gallia
0	naves
0	appelluntur
0	,
0	ad
0	orientem
0	solem
0	,
0	inferior
0	ad
0	meridiem
0	spectat
0	.

0	Hoc
0	pertinet
0	circiter
0	mila
0	passuum
0	quingenta
0	.

0	Alterum
0	vergit
0	ad
GEO-B	Hispaniam
0	atque
0	occidentem
0	solem
0	;

0	qua
0	ex
0	parte
0	est
GEO-B	Hibernia
0	,
0	dimidio
0	minor
0	,
0	ut
0	aestimatur
0	,
0	quam
GEO-B	Britannia
0	,
0	sed
0	pari
0	spatio
0	transmissus
0	atque
0	ex
GEO-B	Gallia
0	est
0	in
GEO-B	Britanniam
0	.

0	In
0	hoc
0	medio
0	cursu
0	est
0	insula
0	,
0	quae
0	appellatur
GEO-B	Mona
0	<COLON>
0	complures
0	praeterea
0	minores
0	subiectae
0	insulae
0	existimantur
0	,
0	de
0	quibus
0	insulis
0	nonnulli
0	scripserunt
0	dies
0	continuos
0	triginta
0	sub
0	bruma
0	esse
0	noctem
0	.

0	Nos
0	nihil
0	de
0	eo
0	percontationibus
0	reperiebamus
0	,
0	nisi
0	certis
0	ex
0	aqua
0	mensuris
0	breviores
0	esse
0	quam
0	in
0	continenti
0	noctes
0	videbamus
0	.

0	Huius
0	est
0	longitudo
0	lateris
0	,
0	ut
0	fert
0	illorum
0	opinio
0	,
0	septingentorum
0	milium
0	.

0	Tertium
0	est
0	contra
0	septentriones
0	;

0	cui
0	parti
0	nulla
0	est
0	obiecta
0	terra
0	,
0	sed
0	eius
0	angulus
0	lateris
0	maxime
0	ad
GEO-B	Germaniam
0	spectat
0	.

0	Hoc
0	milia
0	passuum
0	octingenta
0	in
0	longitudinem
0	esse
0	existimatur
0	.

0	Ita
0	omnis
0	insula
0	est
0	in
0	circuitu
0	vicies
0	centum
0	milium
0	passuum
0	.

0	Ex
0	his
0	omnibus
0	longe
0	sunt
0	humanissimi
0	qui
GEO-B	Cantium
0	incolunt
0	,
0	quae
0	regio
0	est
0	maritima
0	omnis
0	,
0	neque
0	multum
0	a
GRP-B	Gallica
0	differunt
0	consuetudine
0	.

0	Interiores
0	plerique
0	frumenta
0	non
0	serunt
0	,
0	sed
0	lacte
0	et
0	carne
0	vivunt
0	pellibusque
0	sunt
0	vestiti
0	.

0	Omnes
0	vero
0	se
GRP-B	Britanni
0	vitro
0	inficiunt
0	,
0	quod
0	caeruleum
0	efficit
0	colorem
0	,
0	atque
0	hoc
0	horridiores
0	sunt
0	in
0	pugna
0	aspectu
0	;

0	capilloque
0	sunt
0	promisso
0	atque
0	omni
0	parte
0	corporis
0	rasa
0	praeter
0	caput
0	et
0	labrum
0	superius
0	.

0	Vxores
0	habent
0	deni
0	duodenique
0	inter
0	se
0	communes
0	et
0	maxime
0	fratres
0	cum
0	fratribus
0	parentesque
0	cum
0	liberis
0	;

0	sed
0	qui
0	sunt
0	ex
0	his
0	nati
0	,
0	eorum
0	habentur
0	liberi
0	,
0	quo
0	primum
0	virgo
0	quaeque
0	deducta
0	est
0	.

0	Equites
0	hostium
0	essedariique
0	acriter
0	proelio
0	cum
0	equitatu
0	nostro
0	in
0	itinere
0	conflixerunt
0	,
0	tamen
0	ut
0	nostri
0	omnibus
0	partibus
0	superiores
0	fuerint
0	atque
0	eos
0	in
0	silvas
0	collesque
0	compulerint
0	.

0	Sed
0	compluribus
0	interfectis
0	cupidius
0	insecuti
0	nonnullos
0	ex
0	suis
0	amiserunt
0	.

0	At
0	illi
0	intermisso
0	spatio
0	imprudentibus
0	nostris
0	atque
0	occupatis
0	in
0	munitione
0	castrorum
0	subito
0	se
0	ex
0	statione
0	pro
0	castris
0	collocati
0	,
0	acriter
0	pugnaverunt
0	,
0	duabusque
0	missis
0	subsidio
0	cohortibus
0	a
PRS-B	Caesare
0	atque
0	eis
0	primis
0	legionum
0	duarum
0	,
0	cum
0	hae
0	perexiguo
0	intermisso
0	loci
0	spatio
0	inter
0	se
0	constitissent
0	,
0	novo
0	genere
0	pugnae
0	perterritis
0	nostris
0	per
0	medios
0	audacissime
0	perruperunt
0	seque
0	inde
0	incolumes
0	receperunt
0	.

0	Eo
0	die
PRS-B	Quintus
PRS-I	Laberius
PRS-I	Durus
0	,
0	tribunus
0	militum
0	,
0	interficitur
0	.

0	Illi
0	pluribus
0	submissis
0	cohortibus
0	repelluntur
0	.

0	Toto
0	hoc
0	in
0	genere
